entity_type,entity,evidence_layer,openfda_status,openfda_score,civic_status,civic_score,clinical_trials_status,clinical_trials_score,cbioportal_status,cbioportal_score,oncokb_status,dgidb_status,public_high_trust_support_score,public_high_trust_status,model_use
drug,Osimertinib,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Afatinib,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Erlotinib,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Gefitinib,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Dacomitinib,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Amivantamab,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Amivantamab + Lazertinib,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,TRIAL_CONTEXT_SUPPORT,1.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.65,MODERATE_HIGH_TRUST_PUBLIC_EVIDENCE_SUPPORTED,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
drug,Platinum-based Chemotherapy,public_high_trust_consensus,FDA_LABEL_NSCLC_EGFR_SUPPORT,1.0,NO_CIVIC_API_EVIDENCE_FOUND_OR_API_UNAVAILABLE,0.0,NO_RELEVANT_EGFR_NSCLC_TRIAL_CONTEXT,0.0,PUBLIC_CBIOPORTAL_LUNG_COHORTS_FOUND,1.0,PENDING_APPROVED_TOKEN_FULL_THERAPEUTIC_DATA,EXCLUDED_FROM_HIGH_TRUST_SCORING,0.5,PARTIALLY_SUPPORTED_BY_PUBLIC_EVIDENCE,Can support evidence traceability in academic prototype. Does not prove clinical outcome accuracy.
